"","SubjectID","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp"
"165",225,18.46,"Male",45,215,53,25,136,30,76,45,31,89,54,113.33,76,"26",0.568572401745303,"left",1.72209952892506
"166",226,21.5,"Female",44,197,37,18,94,30,74,36,26,80,56,80,76,"32.73",-0.0497282201523641,NA,-0.351742657033986
"167",227,22.94,"Female",44,202,29,24,94,24,68,40,24,73,52,114.67,64,"28.67",-0.785884629458343,"right",-0.871050171744336
"168",228,20.73,"Female",34,193,30,24,96,29,69,43,28,76,56,117.33,64,"32.33",-0.257533614584842,"right",-1.07197293708479
"169",229,18.94,"Female",58,225,48,26,140,32,75,43,30,96,56,156,90.73,"41.41",1.88559402388594,"right",1.82192634831863
"170",230,22.61,"Male",43,199,39,24,108,31,72,36,24,80,54,124,52,"20.33",0.133024764792681,"right",-0.115836208992408
"171",231,16.85,"Female",47,194,38,20,101,28,68,37,25,80,54,124,58.67,"28",-0.424042495979387,"right",-0.356960916827952
"172",232,20.19,"Male",47,201,33,21,94,28,66,39,26,76,53,129.33,66.67,"33.84",-0.293475065231613,"right",-0.562937532675687
"173",233,21.52,"Female",37,208,37,20,97,30,74,40,30,79,54,116,98.31,"36.84",0.936123964082269,"right",0.0425379017625131
"174",234,20.18,"Male",33,205,36,15,87,31,70,43,29,84,55,97.33,61.33,"24.33",-0.235489256365739,"left",-0.160867491503778
"175",235,20.93,"Female",41,208,41,20,102,28,74,39,28,89,55,121.33,58.67,"25.67",-0.0649302274138869,"left",0.38559677375868
"176",236,19.94,"Female",29,170,33,23,99,26,68,35,21,78,53,110.67,61.33,"22.33",-0.767268689242249,"right",-1.31249149519349
"177",237,17.96,"Female",47,214,42,25,118,31,76,40,29,89,55,134.67,98.33,"33.79",1.57233889095772,"right",0.731818350507757
"178",238,23.12,"Male",49,212,40,28,124,31,75,41,30,90,55,156,82.67,"19.67",1.5176796685953,"left",0.469584724055622
"179",239,20.18,"Male",48,219,47,21,116,31,75,41,33,92,54,141.82,80,"29.67",1.19844878301959,"right",1.40551860898031
"180",240,20.97,"Female",35,147,28,17,81,26,67,30,21,77,49,124,73.64,"16",-0.377562641431912,"right",-2.00592051881058
"181",241,23.32,"Male",46,206,36,19,94,29,67,41,27,69,55,141.82,85.5,"31.67",0.477761449359108,"right",-0.122542775721516
"182",242,20.1,"Female",42,NA,33,21,94,30,62,33,26,89,53,120,68,"24",-0.334363871845064,"right",-1.67603725523021
"183",243,18.66,"Male",44,196,37,24,107,28,68,40,28,88,54,125.33,70.67,"28.67",-0.177616175396489,"right",-0.382800688125038
"184",244,19.33,"Male",16,164,27,13,74,17,58,25,22,53,49,62.67,40,"17.67",-2.43871302407258,"right",-1.9140260634033
"185",245,24.03,"Male",43,218,45,19,108,31,76,44,31,95,55,114.67,83.18,"31.67",0.903058253071729,"right",1.18287147903421
"186",247,18.11,"Female",44,209,43,21,110,31,75,40,26,84,54,138.67,82.33,"40.99",1.19239195434891,"right",0.598149609834949
"187",248,23.55,"Male",37,195,36,15,87,23,60,35,28,77,53,118.67,64,"18.33",-1.11793952884506,"right",-0.498888473662887
"188",249,19.52,"Female",38,206,38,22,103,18,55,38,29,86,50,98.67,37.33,"18.67",-2.11410641543913,"right",0.0489866602765672
"189",250,18.95,"Female",40,214,47,21,122,31,75,42,31,95,55,148.57,80,"36.3",1.32099430961257,"right",1.16064194050297
"190",251,16.27,"Female",53,212,47,24,134,28,68,44,30,89,54,97.33,61.33,"29.67",-0.773440042635506,"left",1.06993775004891
"191",252,24.22,"Male",39,200,36,23,101,19,65,35,24,64,50,112,40,"28.33",-1.53826541616628,"right",-0.339782868164089
"192",253,23.15,"Female",52,219,47,25,125,30,75,44,30,91,55,113.33,74.67,"32",0.454668601049623,"right",1.40551860898031
"193",254,24.48,"Male",36,190,33,16,85,25,58,34,24,74,51,84,41.33,"21.67",-1.93422119954928,"right",-0.897249038575669
"194",255,24.75,"Female",48,215,40,24,109,24,74,39,29,86,54,125.33,62.67,"33.07",-0.240083647100467,"right",0.607158194937523
"195",256,21.3,"Male",NA,222,43,24,114,30,75,41,28,88,55,128,74.67,"27",0.687402005425676,"right",1.22253676238143
"196",258,22.31,"Male",48,218,44,21,109,31,74,42,30,93,53,130.67,80,"23.67",0.923276617630618,"right",1.09710676103517
"197",260,22.83,"Male",NA,203,39,18,96,24,61,37,27,91,48,110.67,45.33,"20.33",-1.47633228057822,"right",0.0223649331825021
