,SubjectID,cohort,age,gender,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm,composite1,wasi.matr.tf,ppvt.tf,wj3.rcomp.tf,age.c,Pred,stdPred,resid,CI_group
97,153,a197,22.76,Male,48,206,43,21,108,29,69,42,26,91,54,138.67,74.67,33.49,0.207888309,-0.210920598,0.161110048,0.934593585,2.904942966,0.176034499,0.194600062,0.758559086,UGC
98,155,a197,20.39,Female,20,85,28,7,62,19,57,35,14,70,52,112,50.67,18,-1.72272858,-2.354771918,-2.346006718,-0.818789783,0.534942966,-1.91908672,-2.426331366,1.100296937,EPC
99,157,a197,18.45,Male,55,204,41,24,113,31,73,43,30,93,55,159.88,80,27.67,1.278591805,0.726444066,0.016678043,1.221716636,-1.405057034,0.25305002,0.290944082,0.968666616,UGC
100,158,a197,20.7,Male,42,212,37,23,102,27,69,39,27,83,56,129.33,66.67,31,-0.321954599,0.391601268,0.639183836,0.128943857,0.844942966,0.41520557,0.493795628,-0.286261714,NSC
101,159,a197,21.1,Male,37,202,40,24,109,30,71,40,26,90,55,130.67,73.33,27,0.323045276,0.726444066,-0.120768691,0.388300498,1.244942966,0.113158175,0.115943739,0.275142323,NSC
102,160,a197,23.38,Female,39,208,44,24,116,28,75,43,29,91,54,141.82,77.33,43.88,0.648058291,0.726444066,0.312809657,1.221716636,3.524942966,0.471790672,0.564581829,0.749925964,UGC
103,161,a197,20.61,Female,46,212,39,25,111,30,73,42,29,90,55,128,60,27,0.186705788,1.084522427,0.639183836,0.934593585,0.754942966,0.578253853,0.697763955,0.356339731,NSC
104,162,a197,22.74,Male,36,216,44,22,111,31,76,43,29,90,56,128,114.38,32.33,1.748609391,0.07936044,0.99823297,1.221716636,2.884942966,0.915741665,1.119950703,0.305974971,NSC
105,163,a197,21.66,Female,21,169,37,18,94,17,59,36,24,84,54,112,41.33,22.33,-1.844847693,-0.956566383,-1.597430673,-0.595114078,1.804942966,-1.267134015,-1.610758826,0.672019937,EPC
106,164,a197,17.08,Female,41,208,43,23,114,28,73,38,28,90,54,121.33,70.67,31,0.008192035,0.391601268,0.312809657,-0.121346107,-2.775057034,0.17267094,0.190392355,-0.294017047,NSC
107,165,a197,23.93,Male,48,208,37,26,113,30,74,44,26,92,55,125.33,93.85,32.36,0.888502103,1.466461809,0.312809657,1.518279674,4.074942966,0.622075523,0.7525835,0.896204151,UGC
108,167,a197,24.69,Female,26,228,32,23,96,27,71,40,28,91,54,110.67,64,28.67,-0.53323057,0.391601268,2.297961632,0.388300498,4.834942966,1.466204235,1.808562243,-1.077903737,UPC
109,168,a197,24.16,Female,29,197,40,15,75,30,74,40,26,88,53,118.67,73.33,31,0.365940529,-1.528632788,-0.435602776,0.388300498,4.304942966,-0.300271568,-0.401244,0.688572066,UGC
110,170,a197,16.03,Female,33,174,32,18,89,29,69,32,25,81,54,113.33,70.67,23.33,-0.27686787,-0.956566383,-1.450799391,-1.438202875,-3.825057034,-1.117700402,-1.423822028,-0.320502473,EPC
111,171,a197,21.86,Male,31,167,30,15,80,23,57,32,15,38,50,33.33,74.67,21,-2.132681603,-1.528632788,-1.650249443,-1.438202875,2.004942966,-1.411627289,-1.791515413,-0.026575587,EPC
112,172,a197,24.08,Male,48,218,47,25,125,31,73,42,28,91,56,134.67,58.67,36.52,0.441828461,1.084522427,1.190810228,0.934593585,4.224942966,1.028150037,1.260570077,-0.093556452,EAC
113,173,a197,24.14,Male,49,216,50,26,140,32,76,44,31,95,55,133.33,80,34.19,1.28444621,1.466461809,0.99823297,1.518279674,4.284942966,1.083678111,1.33003397,0.434601563,NSC
114,177,a197,24.19,Female,38,208,41,18,99,31,73,36,25,81,53,133.33,68,29.67,0.586377796,-0.956566383,0.312809657,-0.595114078,4.334942966,0.249785143,0.286859823,-0.844899221,UPC
115,178,a197,16.04,Male,37,212,36,22,103,31,74,44,29,88,52,106.67,65.33,31.33,0.202139742,0.07936044,0.639183836,1.518279674,-3.815057034,0.31956096,0.374147198,1.198718714,UGC
116,181,a197,17.19,Female,41,190,32,12,79,26,66,37,25,89,53,101.33,54.67,22,-1.212788374,-1.946218157,-0.81353662,-0.362666052,-2.665057034,-0.977326911,-1.248219159,0.614660858,EPC
117,182,a197,17.53,Female,51,218,47,25,94,31,75,43,32,85,54,130.67,81.73,24.67,0.981911047,1.084522427,1.190810228,1.221716636,-2.325057034,0.928467857,1.135870772,0.293248779,NSC
118,184,a197,21.6,Male,54,222,40,26,117,29,76,44,29,95,54,148.57,91.58,40.55,1.274067946,1.466461809,1.603751013,1.518279674,1.744942966,1.371041601,1.68951675,0.147238073,EAC
119,185,a197,20.45,Female,42,211,43,22,109,30,76,44,29,93,54,141.82,77.33,37.69,1.009719236,0.07936044,0.554624462,1.518279674,0.594942966,0.495089987,0.593728547,1.023189688,UGC
120,186,a197,18.69,Male,40,210,42,23,112,32,74,43,29,91,55,140.45,97.06,29.67,1.573304438,0.391601268,0.472067731,1.221716636,-1.165057034,0.519895786,0.62475983,0.70182085,UGC
121,187,a197,24.45,Female,44,211,44,23,113,29,74,40,29,88,55,120,84.55,36.52,0.465432134,0.391601268,0.554624462,0.388300498,4.594942966,0.570619213,0.688213258,-0.182318715,NSC
122,188,a197,19.34,Male,54,222,43,24,117,31,75,43,30,95,54,132,66.67,43.88,0.714188637,0.726444066,1.603751013,1.221716636,-0.515057034,1.132584871,1.391214803,0.089131765,EAC
123,189,a197,22.95,Female,50,223,47,25,125,32,74,46,33,96,56,126.67,89.76,41.74,1.18831852,1.084522427,1.713029781,2.14008551,3.094942966,1.405893706,1.733115649,0.734191804,UGC
124,190,a197,21.63,Female,42,209,34,23,99,30,69,41,26,85,52,122.67,87.06,31.33,0.336570622,0.391601268,0.391475369,0.656819093,1.774942966,0.383088096,0.453617668,0.273730997,NSC
125,194,a197,20.7,Female,48,210,41,22,106,30,75,38,29,94,54,110.67,86.51,32.85,0.595364242,0.07936044,0.472067731,-0.121346107,0.844942966,0.397253837,0.471338569,-0.518599945,UPC
126,195,a197,22.13,Female,34,195,41,21,104,29,69,38,28,87,55,130.67,60,24.33,-0.195251236,-0.210920598,-0.550705229,-0.121346107,2.274942966,-0.313108528,-0.417302638,0.191762421,NSC
