SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
163,Female,21.65,22,21,169,37,18,93,112.00,41.33,17,24,36,59,22.33,84,54,98,37,95
164,Female,17.04,20,41,208,43,23,116,121.33,70.67,28,28,38,73,31.00,90,54,101,43,103
165,Male,23.92,20,48,208,37,26,115,125.33,93.85,30,26,44,74,32.36,92,55,110,37,117
166,Female,24.15,21,35,160,32,20,90,116.00,34.67,15,23,34,56,25.33,78,51,92,32,91
167,Female,24.69,24,26,228,32,23,96,110.67,64.00,27,28,40,71,28.67,91,54,79,32,104
168,Female,24.15,24,29,197,40,15,71,118.67,73.33,30,26,40,74,31.00,88,53,104,40,104
169,Male,20.51,-14,36,201,38,15,88,117.33,74.67,30,27,40,69,32.33,85,54,107,38,106
171,Male,21.85,17,31,167,30,15,77,33.33,74.67,23,15,32,57,21.00,38,50,76,30,86
172,Male,24.07,14,48,218,47,25,129,134.67,58.67,31,28,42,73,36.52,91,56,101,47,110
173,Male,24.14,15,49,216,50,26,146,133.33,80.00,32,31,44,76,34.19,95,55,,50,117
174,Female,20.04,-10,38,201,40,21,103,129.33,76.00,29,27,41,72,26.00,82,53,95,40,109
175,Male,19.23,17,,,,,,124.00,76.00,29,29,37,70,34.85,,,,,98
176,Male,22.95,16,37,188,39,22,104,106.67,40.00,29,29,37,67,23.00,77,55,101,39,97
177,Female,24.19,23,38,208,41,18,99,133.33,68.00,31,25,36,73,29.67,81,53,107,41,95
178,Male,16.03,13,37,212,36,22,104,106.67,65.33,31,29,44,74,31.33,88,52,76,36,125
179,Male,20.23,14,,,,,,,,,,,,,59,47,,,
180,Male,18.95,-6,40,167,33,19,90,117.33,66.67,26,20,33,60,21.67,79,53,101,33,86
181,Female,17.17,16,41,190,32,12,75,101.33,54.67,26,25,37,66,22.00,89,53,104,32,100
182,Female,17.51,16,51,218,47,25,94,130.67,81.73,31,32,43,75,24.67,85,54,79,47,118
183,Male,22.45,12,21,217,33,21,93,168.65,81.82,32,32,42,71,34.39,95,54,116,33,111
184,Male,21.60,12,54,222,40,26,119,148.57,91.58,29,29,44,76,40.55,95,54,98,40,118
185,Female,20.44,23,42,211,43,22,111,141.82,77.33,30,29,44,76,37.69,93,54,101,43,119
186,Male,18.67,10,40,210,42,23,114,140.45,97.06,32,29,43,74,29.67,91,55,104,42,117
187,Female,24.45,13,44,211,44,23,115,120.00,84.55,29,29,40,74,36.52,88,55,107,44,104
