"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"143","176",22.96,2.626085409,106.67,0.509314477,40,0.410299723,67,0.965801985,29,0.682542295,188,0.775922446,22,1.232951274,74,1.145226066,37,1.678754225,0.64198962,0.743311667,0.807766954803965,0.986404287062701,0.870987270196035,"UGC"
"147","181",17.19,2.846085409,101.33,1.013277401,54.67,0.573339531,66,1.663562087,26,1.102549013,190,1.271509916,12,1.578007153,73.49056604,1.352253581,37,1.142935739,1.088182008,1.259924393,1.24272712031527,1.51755571566795,-0.0997913813152742,"EAC"
"153","187",24.45,3.186085409,120,0.869596654,84.55,-0.065910865,74,1.663562087,29,1.102549013,211,1.539189492,23,1.578007153,85.28301887,1.359966894,40,1.40778337,0.892449222,1.03330007,1.32857313198462,1.62238653778389,0.0792102380153792,"EAC"
"155","189",22.95,-3.583914591,126.67,1.013277401,89.76,0.011751027,74,0.1561256,32,-0.339824306,223,0.935398336,25,0.294292934,88,1.474234252,46,0.385124145,0.210332431,0.243528158,0.524734951500758,0.640779871735421,-0.139610806500758,"EAC"
"157","191",18.69,5.256085409,102,1.013277401,61.24,0.739269791,68,1.421900249,22,1.102549013,196,1.185291298,15,1.578007153,75.24528302,1.05175272,33,1.142935739,1.069249114,1.238003413,1.23095539427685,1.5031806772202,-0.088019655276845,"EAC"
"158","193",22.81,3.446085409,106.67,-0.931274074,66.67,0.573339531,73,1.421900249,30,1.102549013,199,1.359219943,22,0.294292934,80.20754717,1.437644641,37,2.239068699,0.54162868,0.627111256,0.942861388226398,1.15137479930395,1.2962073107736,"UGC"
"161","201",22.88,1.986085409,106.67,-0.426770997,62.67,-0.21994689,66,-0.368379615,25,-0.035776103,191,-0.482794231,16,-0.738283726,74.83018868,-0.125240424,38,-0.539616645,-0.262718401,-0.304181947,-0.403267507153894,-0.492449951929391,-0.136349137846105,"EAC"
"165","205",17.07,-3.553914591,88,-0.354930623,32,0.840408974,58,1.663562087,19,0.682542295,152,1.631487019,8,0.904086171,56.90566038,1.380584065,32,1.142935739,0.707895683,0.819619358,1.11418353283016,1.36058476626962,0.0287522061698416,"EAC"
"166","206",24.84,3.026085409,125.33,1.085657929,80,0.410299723,71,0.1561256,29,0.304076256,207,0.473411677,25,0.013034742,83.71698113,0.549385046,45,1.142935739,0.489039877,0.566222622,0.427879151392412,0.522504450960334,0.715056587607588,"UGC"
"167","207",23.35,-3.043914591,147.52,-0.067028974,93.02,-0.065910865,76,-0.828317379,30,-0.339824306,220,-0.312486205,29,-1.163993086,89.26415094,-0.792009575,43,-1.366497347,-0.325270381,-0.376606197,-0.478487115417888,-0.584304345863561,-0.888010231582111,"UPC"
"168","208",23.51,0.656085409,129.33,-0.354930623,107.63,-0.949487599,74,-1.576149195,26,-1.782380296,213,-2.67459557,21,-2.386736036,85.39622642,-1.970632947,42,-0.539616645,-1.165736928,-1.349719423,-2.04847766456017,-2.50149766422957,1.50886101956017,"EPC"
"169","209",22.44,-1.283914591,113.33,2.23132284,64,0.739269791,67,0.965801985,27,1.102549013,197,0.330096252,22,0.904086171,77.01886792,0.900179758,37,1.40778337,1.259735907,1.458553796,0.644518127025831,0.787053047643897,0.76326524297417,"UGC"
"172","213",16.85,3.646085409,120,1.255806183,65.33,0.573339531,63,1.421900249,27,-0.035776103,167,0.621974035,14,0.904086171,53,1.232697108,36,1.40778337,0.803817465,0.93068,0.740209363551098,0.90390636207477,0.667574006448903,"UGC"
"175","216",16.95,1.926085409,109.33,-0.354930623,77.33,-1.417772325,69,-1.350555732,31,-1.947077367,204,-1.462865546,20,-0.738283726,77.37735849,-0.587497319,35,-0.317608215,-1.267584012,-1.467640528,-1.18650198705694,-1.44889641742204,0.868893772056942,"EPC"
"177","218",22.4,4.196085409,138.67,0.365093576,77.73,1.634970912,73,1.189390714,32,0.682542295,217,0.621974035,22,1.578007153,84.24528302,1.344550144,42,1.678754225,0.967999374,1.120773929,0.899695514379976,1.09866281007255,0.779058710620025,"UGC"
"178","219",22.03,4.416085409,108,-0.138869348,61.33,-1.727349402,71,-1.680715639,30,-2.062177804,201,-1.748770706,25,-0.252693548,79.88679245,-1.239519683,38,-0.755508785,-1.402278048,-1.623592658,-1.2559558281164,-1.53370994708742,0.500447043116396,"EPC"
"179","220",18.92,4.956085409,129.33,-0.426770997,72,-0.21994689,71,0.5444753,30,-0.339824306,216,2.427941224,25,0.591254207,84.50943396,1.095836296,41,0.63160695,-0.110516723,-0.127959031,1.370617613115,1.67372913875774,-0.739010663115,"UPC"
"180","221",18.02,4.426085409,121.33,0.005351553,69.33,0.329039454,74,1.189390714,29,0.682542295,216,-0.132142974,19,-1.354899639,84.54716981,0.605052048,40,0.63160695,0.551581004,0.638634306,-0.0523871815175637,-0.0639725854741753,0.683994131517566,"UGC"
"181","223",19.03,0.816085409,121.33,-0.067028974,93.85,0.410299723,73,0.1561256,32,0.682542295,203,0.124662443,25,-1.354899639,82.30188679,0.241027922,40,0.63160695,0.295484661,0.342119544,-0.0504264566047712,-0.0615782470470979,0.682033406604773,"UGC"
"182","224",21.88,-0.023914591,120,-0.067028974,73.33,-0.21994689,62,-1.229160995,28,-0.339824306,116,-0.069725257,13,1.232951274,50.30188679,-1.043557637,29,0.14476127,-0.463990291,-0.537219584,0.0240180729512339,0.0293296598391233,0.120743197048765,"EAC"
"184","226",21.5,2.126085409,80,-1.795519174,76,0.410299723,74,-1.576149195,30,-1.250106035,197,-1.53146455,18,-1.354899639,79.83018868,-1.449193157,36,-1.16894812,-1.05286867,-1.219037726,-1.25306394335706,-1.53017852319374,0.084115823357057,"EPC"
"185","227",22.94,4.346085409,114.67,0.869596654,64,-0.519754225,68,0.965801985,24,1.102549013,202,1.448440159,24,1.232951274,82.22641509,1.162614285,40,1.142935739,0.604548357,0.699961234,1.16547854365876,1.42322364780929,-0.0225428046587642,"EAC"
"186","228",20.73,0.316085409,117.33,0.581154851,64,0.491533654,69,0.750905434,29,0.304076256,193,0.124662443,24,0.013034742,77.9245283,0.525093518,43,0.884210536,0.531917549,0.615867465,0.220818274068004,0.26965214511796,0.663392261931997,"UGC"
"189","231",16.85,4.456085409,124,0.797216126,58.67,0.011751027,68,0.965801985,28,1.102549013,194,0.621974035,20,-0.738283726,73.83018868,0.483424893,37,-0.317608215,0.719329538,0.832857761,0.474237371386522,0.579114772387175,-0.79184558638652,"UPC"
"190","232",20.19,-3.693914591,129.33,-0.642832272,66.67,-0.143532136,66,1.189390714,28,1.102549013,201,0.935398336,21,0.294292934,68,1.049313804,39,1.678754225,0.37639383,0.435798207,0.570034861185002,0.696097837959271,1.108719363815,"UGC"
"192","234",20.18,-0.763914591,97.33,-0.067028974,61.33,-0.065910865,70,-1.229160995,31,-0.610761311,205,-1.53146455,15,-0.503071129,78.86792453,-1.249772242,43,-0.96528561,-0.493215536,-0.571057305,-1.00741504777628,-1.23020447460553,0.0421294377762853,"EPC"
"193","235",20.93,-2.543914591,121.33,-0.931274074,58.67,-0.737758241,74,-0.368379615,28,-0.610761311,208,-0.537405506,20,-1.842485352,83.81132075,-0.231525318,39,-0.089482551,-0.66204331,-0.766530332,-0.785503846587578,-0.959217701836738,0.696021295587579,"UGC"
