"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"155","189",22.95,-3.583914591,126.67,1.013277401,89.76,0.011751027,74,0.1561256,32,-0.339824306,223,0.935398336,25,0.294292934,88,1.474234252,46,0.385124145,0.210332431,0.243528158,0.566019746436311,0.633144059643766,0.908214505563689,"UGC"
"164","204",22.18,0.136085409,96,-0.210709722,65.33,0.248971844,61,-0.368379615,21,0.304076256,187,-0.643481659,19,0.294292934,69.16981132,-0.279001579,36,-0.089482551,-0.006510309,-0.007537799,-0.303161196742272,-0.339113099953948,0.0241596177422728,"EAC"
"166","206",24.84,3.026085409,125.33,1.085657929,80,0.410299723,71,0.1561256,29,0.304076256,207,0.473411677,25,0.013034742,83.71698113,0.549385046,45,1.142935739,0.489039877,0.566222622,0.581864648019997,0.650868008987987,-0.0324796020199949,"EAC"
"168","208",23.51,0.656085409,129.33,-0.354930623,107.63,-0.949487599,74,-1.576149195,26,-1.782380296,213,-2.67459557,21,-2.386736036,85.39622642,-1.970632947,42,-0.539616645,-1.165736928,-1.349719423,-2.20667958757804,-2.46836984268461,0.236046640578041,"EPC"
"170","210",24.1,0.966085409,77.33,0.581154851,4,-0.065910865,45,0.1561256,9,-0.339824306,148,0.935398336,6,0.591254207,46,0.688615638,26,0.385124145,0.08288632,0.095967858,0.750271621401168,0.839246374713826,-0.0616559834011672,"EAC"
"174","215",22.35,3.006085409,126.67,0.509314477,69.33,3.06236478,68,1.663562087,24,1.102549013,198,1.271509916,18,0.294292934,75.35849057,1.293445839,29,1.40778337,1.584447589,1.834513117,1.27359374349947,1.42462929639324,0.0198520955005302,"EAC"
"175","216",16.95,1.926085409,109.33,-0.354930623,77.33,-1.417772325,69,-1.350555732,31,-1.947077367,204,-1.462865546,20,-0.738283726,77.37735849,-0.587497319,35,-0.317608215,-1.267584012,-1.467640528,-1.29703019963717,-1.45084508320828,0.709532880637164,"EPC"
"178","219",22.03,4.416085409,108,-0.138869348,61.33,-1.727349402,71,-1.680715639,30,-2.062177804,201,-1.748770706,25,-0.252693548,79.88679245,-1.239519683,38,-0.755508785,-1.402278048,-1.623592658,-1.41005080626303,-1.5772688098632,0.170531123263024,"EPC"
"179","220",18.92,4.956085409,129.33,-0.426770997,72,-0.21994689,71,0.5444753,30,-0.339824306,216,2.427941224,25,0.591254207,84.50943396,1.095836296,41,0.63160695,-0.110516723,-0.127959031,1.68928431604004,1.88961663706346,-0.593448020040043,"UPC"
"180","221",18.02,4.426085409,121.33,0.005351553,69.33,0.329039454,74,1.189390714,29,0.682542295,216,-0.132142974,19,-1.354899639,84.54716981,0.605052048,40,0.63160695,0.551581004,0.638634306,0.0771452986610796,0.0862939639023211,0.527906749338923,"UGC"
"182","224",21.88,-0.023914591,120,-0.067028974,73.33,-0.21994689,62,-1.229160995,28,-0.339824306,116,-0.069725257,13,1.232951274,50.30188679,-1.043557637,29,0.14476127,-0.463990291,-0.537219584,0.0787397729601544,0.0880775269972514,-1.12229740996016,"UPC"
"183","225",18.46,-3.703914591,113.33,-0.283090249,76,0.16949459,76,0.1561256,30,0.304076256,215,-1.277718366,25,-0.738283726,87.90566038,-1.623613789,45,-1.16894812,0.086651549,0.100327335,-1.01749279067585,-1.13815731736274,-0.606120998324151,"EPC"
"184","226",21.5,2.126085409,80,-1.795519174,76,0.410299723,74,-1.576149195,30,-1.250106035,197,-1.53146455,18,-1.354899639,79.83018868,-1.449193157,36,-1.16894812,-1.05286867,-1.219037726,-1.36160427270964,-1.52307699919979,-0.0875888842903634,"EPC"
"185","227",22.94,4.346085409,114.67,0.869596654,64,-0.519754225,68,0.965801985,24,1.102549013,202,1.448440159,24,1.232951274,82.22641509,1.162614285,40,1.142935739,0.604548357,0.699961234,1.24106927500984,1.38824774937552,-0.0784549900098365,"EAC"
"187","229",18.94,-0.493914591,156,0.293253202,90.73,0.491533654,75,0.346288694,32,0.304076256,225,0.260363295,26,0.904086171,86.94339623,0.349985956,43,-0.089482551,0.358787952,0.41541368,0.409507904246725,0.458071469379454,-0.0595219482467242,"EAC"
"192","234",20.18,-0.763914591,97.33,-0.067028974,61.33,-0.065910865,70,-1.229160995,31,-0.610761311,205,-1.53146455,15,-0.503071129,78.86792453,-1.249772242,43,-0.96528561,-0.493215536,-0.571057305,-1.16026269673582,-1.29785831452713,-0.0895095452641773,"EPC"
"193","235",20.93,-2.543914591,121.33,-0.931274074,58.67,-0.737758241,74,-0.368379615,28,-0.610761311,208,-0.537405506,20,-1.842485352,83.81132075,-0.231525318,39,-0.089482551,-0.66204331,-0.766530332,-0.870550011061504,-0.97378858533696,0.639024693061503,"UGC"
