"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"107",107,"1178",22.67,-2.813914591,109.33,0.365093576,66.67,-0.143532136,63,-0.828317379,28,-1.41322975,189,-0.427114091,15,1.578007153,75,-0.890495242,35,-0.089482551,-0.504996422,-0.58469751,-0.327580837700261,-0.158634185298571,-0.191232601239399,0.069151634298572,"EAC"
"108",108,"1179",20.75,-1.483914591,101.33,-0.283090249,82.67,1.114447804,73,1.663562087,32,1.567141763,202,1.10054546,23,1.232951274,81,1.202557614,39,2.239068699,1.015515351,1.175789117,0.506924045677033,1.01398413208603,1.24194120675621,1.22508456691397,"UGC"
"110",110,"1180",18.5,-1.733914591,122.67,-2.227641725,76,-1.845227782,70,-1.229160995,25,-1.554992181,202,-1.238248435,20,-0.503071129,81,-1.043557637,35,-0.96528561,-1.714255671,-1.984808166,0.0192023611012431,-1.21667308950484,-1.48436747971449,0.251387479504842,"EPC"
"113",113,"1185",23.67,-0.983914591,137.33,3.880950675,74.67,3.137628247,73,1.421900249,32,1.567141763,214,1.539189492,21,1.232951274,86,1.202557614,41,1.678754225,2.501905234,2.896768564,1.10059213985472,1.6623549153939,2.0343798125073,0.0163993096060935,"EAC"
"115",115,"1187",22.17,-4.063914591,114.67,1.24014174,62.67,0.656333036,70,0.5444753,32,1.567141763,203,0.698266199,24,1.578007153,78,0.817785013,37,-0.317608215,1.00202296,1.160167288,0.076654505359898,0.819141133756095,1.00380414396444,-1.1367493487561,"UPC"
"116",116,"1188",15.42,-5.063914591,114.67,-0.067028974,56,-0.295729157,62,-1.229160995,23,-1.250106035,202,-0.745461594,26,-1.354899639,70,-1.920369046,36,-0.96528561,-0.71050629,-0.822641985,-0.460712824719967,-0.865919901545902,-1.05567702298096,-0.0993657084540976,"EPC"
"117",117,"1189",21.5,-1.313914591,133.33,0.221412828,80,0.16949459,68,0.1561256,31,-0.610761311,195,-0.006129261,18,0.591254207,78,0.459468012,38,0.884210536,-0.015932073,-0.018446554,0.20019808596014,0.0636483728601759,0.0804410845664917,0.820562163139824,"UGC"
"118",118,"119",19.96,2.406085409,110.67,-1.074954822,30.67,-2.372277359,68,-2.048266832,26,-1.782380296,190,-2.356363166,20,-0.738283726,76.67924528,-1.847545109,36,-1.74326023,-1.819469827,-2.106627753,-0.118696724088191,-1.78981233660544,-2.18485812112879,0.0465521066054425,"EPC"
"119",119,"1190",18.17,-2.893914591,105.33,0.221412828,58.67,0.011751027,72,-1.10178426,29,-0.339824306,209,0.124662443,25,0.013034742,81,0.021240794,38,-0.089482551,-0.302111178,-0.349791891,0.380153193435764,-0.0632903988523416,-0.0747034497976642,-0.0261921521476579,"EAC"
"120",120,"1191",15.83,-1.483914591,97.33,1.181805196,53.33,0.31213437,57,-0.368379615,26,0.682542295,174,-0.193398456,19,0.591254207,47,-1.043557637,29,-0.96528561,0.452025562,0.523366521,-1.97682065575104,0.0968711492661783,0.121045953404099,-1.06215675926618,"UPC"
"121",121,"1193",19.33,-5.233914591,138.67,0.293253202,84,0.410299723,76,-0.368379615,30,-1.063496366,225,-0.537405506,29,-0.503071129,91,-0.810460226,46,0.14476127,-0.182080764,-0.210817671,2.18574194207941,-0.482536055740262,-0.587105384561754,0.627297325740262,"UGC"
"123",123,"1197",15.75,-4.233914591,117.33,-0.283090249,53.33,0.011751027,66,-0.828317379,22,-0.035776103,200,-0.694976298,23,-1.842485352,76,-1.116654715,36,-1.922476115,-0.283858176,-0.328658108,-0.156308956217205,-0.783165360218279,-0.954534443707619,-1.13931075478172,"UPC"
"130",130,"1204",17.42,-2.143914591,94.67,-1.074954822,70.67,-0.879800747,72,-0.681836275,30,1.102549013,211,-0.843462206,24,-2.207588062,88,-2.278313864,41,-2.726948061,-0.383510708,-0.444038306,1.2438786960707,-0.911487047001694,-1.1113691765182,-1.81546101399831,"EPC"
"131",131,"1205",19.5,-0.983914591,122.67,-1.291016097,77.33,0.491533654,74,0.1561256,30,0.304076256,227,0.698266199,28,1.232951274,89,0.817785013,43,-0.089482551,-0.084820147,-0.098206891,1.59411581654555,0.507682567846108,0.623139564262447,-0.597165118846107,"UPC"
"132",132,"1206",15.42,-1.063914591,94.67,-0.138869348,56,0.656333036,64,0.5444753,29,1.567141763,188,0.775922446,20,1.578007153,63,1.071302565,36,0.884210536,0.657270188,0.761003891,-0.756451071184341,0.807601937550563,0.989700941309397,0.076608598449437,"EAC"
"133",133,"1209",14.83,-1.893914591,126.67,-0.499151524,72,-1.417772325,70,-1.10178426,29,-1.41322975,201,-0.983252354,26,-1.354899639,80,-1.730016086,39,-0.755508785,-1.107984465,-1.282852174,0.445449849093489,-1.05053773917173,-1.2813168969719,0.295028954171735,"EPC"
"135",135,"1210",16,-4.643914591,97.33,1.556671508,57.33,2.482903807,60,1.421900249,22,1.102549013,169,1.017253918,18,0.591254207,60,1.071302565,33,1.142935739,1.641006144,1.899998029,-1.20667841422681,0.999862507750292,1.22468176110004,0.143073231249705,"EAC"
"136",136,"122",23.2,0.266085409,112,-1.219175723,72,-0.737758241,72,-0.968234398,30,-0.035776103,209,-1.564643231,27,0.013034742,82.8490566,-1.390540533,41,-1.74326023,-0.740236116,-0.857063922,0.887819333697534,-0.999691229564459,-1.21917230591717,-0.74356900043554,"EPC"
"140",140,"126",24.91,1.846085409,126.67,0.437474103,72,0.011751027,72,-0.828317379,31,1.102549013,204,-0.006129261,20,0.591254207,79.96226415,0.234823476,40,0.14476127,0.180864191,0.209409092,0.573158046017987,0.166896066166666,0.20663038895401,-0.0221347961666658,"EAC"
"141",141,"127",20.56,2.266085409,148.11,0.005351553,91.29,-0.21994689,76,-0.200995735,30,-0.610761311,205,-0.370349867,27,0.013034742,87.26415094,0.943056631,43,0.884210536,-0.256588096,-0.297084126,1.46654390063654,-0.224532907696572,-0.27177400292229,1.10874344369657,"UGC"
"148",148,"134",21.17,2.016085409,121.33,0.005351553,68,-0.295729157,68,-0.368379615,25,-0.035776103,206,0.124662443,20,0.013034742,79.69811321,0.57602551,39,-0.089482551,-0.173633331,-0.20103702,0.427186280302373,0.0473846328882441,0.0605635457269045,-0.136867183888244,"EAC"
"149",149,"136",23.14,2.936085409,167.2,-0.499151524,100.22,-0.065910865,75,-0.828317379,31,-0.035776103,222,-0.590963,25,-1.354899639,88.50943396,-0.081489395,45,-0.539616645,-0.357288968,-0.413678119,1.8466175594505,-0.566430991248454,-0.689641753311302,0.0268143462484541,"EAC"
"150",150,"137",22.54,1.016085409,122.67,-0.931274074,73.33,0.907436919,73,0.965801985,28,1.567141763,210,0.19189094,19,0.591254207,84.41509434,0.57602551,41,0.385124145,0.627276648,0.72627662,0.991612305130625,0.380527453936536,0.46773061652031,0.00459669106346359,"EAC"
"151",151,"138",20.36,1.616085409,125.33,1.013277401,70.67,0.410299723,70,1.189390714,27,-0.035776103,204,1.271509916,25,-0.503071129,79.37735849,1.220119996,37,1.40778337,0.644297934,0.74598429,0.157615555449052,0.775941556899427,0.951005632164319,0.631841813100572,"UGC"
