"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"134","1027",22.17,3.312621951,138.6666667,0.918511253,80,0.562702975,71,0.264334349,31,0.921245944,200,-0.285410125,24,0.595711907,64,-1.304599579,0.66669863025454,0.264636580842782,0.320213780798142,-1.56923615984278,"UPC"
"136","1029",21.92,3.062621951,125.3333333,0.178107963,78.66666667,0.466347369,70,0.027589687,30,0.369301289,212,0.720611516,26,1.374518222,90,1.607696938,0.260336576990172,0.786201793509969,0.95131462177559,0.821495144490031,"UGC"
"137","1031",19.58,0.722621951,134.6666667,0.696390267,81.33333333,0.659650099,76,1.689182128,29,-0.101336301,223,1.943199608,25,0.973187769,89,1.439135245,0.735971548270668,1.37698686481667,1.66617241191063,0.0621483801833327,"EAC"
"138","1035",17.42,-1.437378049,116,-0.340174335,62.66666667,-0.641335782,64,-1.114400548,28,-0.500519232,183,-1.264250074,24,0.595711907,65,-1.239062052,-0.649107474293112,-0.837829721833979,-1.0137851015479,-0.401232330166022,"EPC"
"139","1036",21.75,2.892621951,138.6666667,0.918511253,81.33333333,0.659650099,76,1.689182128,30,0.369301289,221,1.696462711,27,1.800243352,89,1.439135245,0.909161192280368,1.50855252351896,1.82536860796474,-0.0694172785189571,"EAC"
"141","1040",23.08,4.222621951,136,0.770430594,64,-0.55261731,64,-1.114400548,22,-1.838136047,174,-1.622018198,16,-1.633201768,53,-1.853378314,-0.683680827830049,-1.00386276007741,-1.21468728505363,-0.849515553922591,"EPC"
"142","1044",16.67,-2.187378049,109.3333333,-0.71037598,76,0.275435686,72,0.516151197,31,0.921245944,213,0.818856205,21,-0.399119802,81,0.275033958,0.250614211773299,0.329089716581201,0.398202931876945,-0.0540557585812006,"EAC"
"144","1048",21.58,2.722621951,112,-0.562295321,77.33333333,0.370589482,75,1.3694923,30,0.369301289,217,1.236625529,23,0.241542026,81,0.275033958,0.386771937532496,0.933494979824349,1.12954133532094,-0.65846102182435,"UPC"
"147","1058",17.58,-1.277378049,110.6666667,-0.636335647,69.33333333,-0.191035907,61,-1.534116302,29,-0.101336301,198,-0.425054729,20,-0.686756194,61,-1.484263629,-0.615706039300893,-0.531660092869958,-0.643315780304568,-0.952603536130042,"UPC"
"148","1059",15,-3.857378049,97.33333333,-1.376738935,38.66666667,-2.110130914,60,-1.655322263,25,-1.354417267,167,-1.84108425,15,-1.821882902,46,-2.068887104,-1.6241523448016,-1.81495951031172,-2.19612513549859,-0.253927593688283,"EPC"
"149","1061",22.92,4.062621951,138.6666667,0.918511253,72,-0.006334704,75,1.3694923,29,-0.101336301,215,1.022684864,26,1.374518222,86,0.965302691,0.545083137020358,1.07146141063153,1.29648255071336,-0.106158719631527,"EAC"
"150","1068",17.75,-1.107378049,105.3333333,-0.932496965,50.66666667,-1.407657172,59,-1.768012493,24,-1.548777695,152,-2.175154321,20,-0.686756194,52,-1.889660066,-1.41423608132142,-1.65118819347354,-1.99795966496036,-0.238471872526464,"EPC"
"152","1082",14.67,-4.187378049,102.6666667,-1.080577619,72,-0.006334704,69,-0.194791532,30,0.369301289,195,-0.621210111,19,-0.953376739,80,0.150916205,-0.228100641503351,-0.734627286376367,-0.888908782678489,0.885543491376367,"UGC"
"154","1085",18.75,-0.107378049,110.6666667,-0.636335647,57.33333333,-0.989234633,66,-0.782485185,28,-0.500519232,199,-0.356145185,22,-0.089879491,80,0.150916205,-0.727143674277419,-0.383883277620574,-0.464503869318537,0.534799482620574,"UGC"
"155","1087",16.5,-2.357378049,88,-1.895021235,36,-2.256492138,63,-1.264175695,24,-1.548777695,159,-2.039372223,16,-1.633201768,52,-1.889660066,-1.74111669079057,-1.84379951577495,-2.23102192550604,-0.0458605502250465,"EPC"
"156","1092",17.92,-0.937378049,120,-0.118053349,61.33333333,-0.729366128,66,-0.782485185,22,-1.838136047,199,-0.356145185,21,-0.399119802,67,-1.098999799,-0.867010177314089,-0.501621230271186,-0.60696835722559,-0.597378568728814,"UPC"
"158","1094",19.75,0.892621951,137.3333333,0.84447092,82.66666667,0.757182705,72,0.516151197,31,0.921245944,204,0.016573106,21,-0.399119802,80,0.150916205,0.759762691509101,0.192770502187731,0.233254870243087,-0.041854297187731,"EAC"
"159","1095",18.5,-0.357378049,93.33333333,-1.598859921,61.33333333,-0.729366128,64,-1.114400548,26,-1.119390511,190,-0.915079896,20,-0.686756194,64,-1.304599579,-1.14050427705011,-0.870537293445119,-1.05336169800947,-0.434062285554882,"EPC"
"160","1096",18.25,-0.607378049,122.6666667,0.03002731,73.33333333,0.086966756,61,-1.534116302,28,-0.500519232,159,-2.039372223,18,-1.199581025,65,-1.239062052,-0.479410367067117,-1.38780267416382,-1.67925968516759,0.148740622163819,"EPC"
"163","1099",17.5,-1.357378049,109.3333333,-0.71037598,60,-0.816699134,60,-1.655322263,27,-0.837180151,145,-2.2820586,18,-1.199581025,67,-1.098999799,-1.00489438206164,-1.68612786763985,-2.04023713518709,0.587128068639845,"EPC"
"165","1106",18.58,-0.277378049,112,-0.562295321,65.33333333,-0.463219614,61,-1.534116302,26,-1.119390511,184,-1.218460973,19,-0.953376739,72,-0.692274606,-0.919755437070503,-1.00765531374054,-1.21927632540395,0.315380707740537,"EPC"
"166","1108",16.25,-2.607378049,100,-1.228658278,77.33333333,0.370589482,68,-0.403494073,30,0.369301289,214,0.919531189,25,0.973187769,89,1.439135245,-0.22306539501396,0.414952258549033,0.502097749108436,1.02418298645097,"UGC"
"167","1118",21.83,2.972621951,134.6666667,0.696390267,76,0.275435686,75,1.3694923,32,1.565330264,219,1.461080137,26,1.374518222,89,1.439135245,0.976662129305304,1.3508117992388,1.63450023459199,0.0883234457612028,"EAC"
"168","1119",19.08,0.222621951,106.6666667,-0.858456633,58.66666667,-0.903325264,63,-1.264175695,24,-1.548777695,217,1.236625529,24,0.595711907,68,-1.024299871,-1.143683821815,0.468832663944575,0.567293755919247,-1.49313253494458,"UPC"
"171","1127",19,0.142621951,108,-0.784416306,72,-0.006334704,71,0.264334349,32,1.565330264,216,1.128366355,23,0.241542026,84,0.674828751,0.259728400785375,0.703592486982299,0.851356262674973,-0.0287637359822987,"EAC"
"174","1133",22,3.142621951,120,-0.118053349,60,-0.816699134,70,0.027589687,19,-2.092724406,205,0.097032206,18,-1.199581025,85,0.817598584,-0.74997180054599,-0.107029839537677,-0.129507528768682,0.924628423537676,"UGC"
"178","1147",21.92,3.062621951,138.6666667,0.918511253,82.66666667,0.757182705,75,1.3694923,31,0.921245944,219,1.461080137,26,1.374518222,89,1.439135245,0.991608050532605,1.35936810150659,1.64485347408288,0.0797671434934117,"EAC"
