"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.t","towre.nw.ipm","towre.nw.ipm.cs","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","nd.rcomp.raw","nd.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"164",17.08,-4.216826347,121.33,-0.277004433,70.67,-0.201986467,73,0.181522516,28,-0.721307337,208,-0.118434288,23,0.133421932,36,0.778669358,-0.254693930232468,-0.0810041450935361,-0.106264094372122,0.859673503093537,0.122362476318288,0.151298491637201,0.656306881681712
"165",23.93,2.633173653,125.33,-0.05215641,93.85,1.256297969,74,0.537397232,30,0.207905859,208,-0.118434288,26,1.3110607,35,0.524957176,0.487361162489608,0.191745923660976,0.251539065248629,0.333211252339023,0.261978221312507,0.323930267789837,0.262978954687492
"166",24.15,2.853173653,116,-0.585966539,34.67,-2.466794045,56,-1.949484378,15,-2.188306999,160,-2.11974296,20,-0.794239493,18,-1.694582172,-1.79763799015518,-1.79427577173459,-2.35379423836081,0.0996935997345895,-1.94270980994327,-2.40211764832378,0.248127637943268
"167",24.69,3.393173653,110.67,-0.906434554,64,-0.621604982,71,-0.401870721,27,-1.05646916,228,2.417398419,23,0.133421932,33,0.069114204,-0.746594854212152,0.649913324171554,0.852579220019255,-0.580799120171552,0.662516263267105,0.819186684622937,-0.593402059267104
"168",24.16,2.863173653,118.67,-0.429815582,73.33,-0.034642351,74,0.537397232,30,0.207905859,197,-0.931486944,15,-1.862598196,33,0.069114204,0.0702112894908144,-0.521946534607083,-0.684707872220156,0.591060738607082,-0.233631448339377,-0.288880110824468,0.302745652339377
"169",20.55,-0.746826347,117.33,-0.507830159,74.67,0.04965882,69,-0.845313065,30,0.207905859,201,-0.671838228,15,-1.862598196,33,0.069114204,-0.273894636229812,-0.499228349605809,-0.654905355903943,0.568342553605809,-0.3493441561731,-0.43195631098795,0.4184583601731
"172",24.08,2.783173653,134.67,0.451431159,58.67,-0.956922326,73,0.181522516,31,0.836122116,218,0.942685733,25,0.888989635,36,0.778669358,0.128038366234835,0.459772420194464,0.603145676237524,0.318896937805537,0.660189345262126,0.816309502051748,0.118480012737874
"174",20.05,-1.246826347,129.33,0.167050839,76,0.133330878,72,-0.129880221,29,-0.305137928,201,-0.671838228,21,-0.511038042,33,0.069114204,-0.0336591079852121,-0.30838360232869,-0.404548485657885,0.37749780632869,-0.115261625462825,-0.142518446766463,0.184375829462825
"176",22.96,1.663173653,106.67,-1.155096236,40,-2.131476701,67,-1.179749025,29,-0.305137928,188,-1.393308023,22,-0.202170189,17,-1.73900889,-1.19286497246004,-1.16264688393678,-1.52520118687672,-0.576362006063221,-1.21589423513826,-1.50342628927124,-0.523114654861739
"177",24.19,2.893173653,133.33,0.380925609,68,-0.369959695,73,0.181522516,31,0.836122116,208,-0.118434288,18,-1.287896925,30,-0.496796993,0.257152636484575,-0.0604568182154384,-0.0793093863043462,-0.436340174784562,0.0881562903239851,0.109003300333037,-0.584953283323985
