"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","gm.rcomp.raw","gm.rcomp.cs","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"a1950068",20.67,0.354878049,152.866242,2.317725195,80.87091757,1.177130684,68,0.526539925,28,0.383675823,209,1.183316317,19,-0.008547455,40,0.881660269,1.10126790677131,0.907485659274024,1.15974090118165,-0.0258253902740223,1.10730256175851,1.38922286663286,-0.225642292758509
"a1950069",16.42,-3.895121951,97.33333333,-0.886092124,49.33333333,-0.58374576,61,-0.683273436,23,-0.810192496,175,-0.781949475,21,0.523128096,31,-0.049043403,-0.740825953987791,-0.547127114585811,-0.699212914822978,0.49808371158581,-0.645707651042747,-0.81010544455293,0.596664248042747
"a1950071",19.42,-0.895121951,84,-1.655321853,45.33333333,-0.791866289,63,-0.359418158,31,1.351039833,184,-0.340727445,19,-0.008547455,17,-1.496804671,-0.363891616741458,-0.278697406400784,-0.35616737079447,-1.21810726459922,-0.298889769622389,-0.374987394547739,-1.19791490137761
"a1950072",24.58,4.264878049,76,-2.11685969,24,-1.823944228,57,-1.280623764,19,-1.449419641,182,-0.443368058,15,-0.941950193,26,-0.566100999,-1.6677118307436,-0.755969844517178,-0.966107992830968,0.189868845517177,-0.833167458658132,-1.04529270078639,0.267066459658132
"a1950073",17.08,-3.235121951,122.6666667,0.575444362,66.66666667,0.360007814,63,-0.359418158,25,-0.390302432,166,-1.172214171,17,-0.497145172,13,-1.910450748,0.0464328965216496,-0.717451252723666,-0.916882326393521,-1.19299949527633,-0.811734732913115,-1.01840318230402,-1.09871601508688
"a1950074",20.25,-0.065121951,132,1.11390517,77.33333333,0.970312556,68,0.526539925,26,-0.152373326,196,0.333214708,21,0.523128096,34,0.261191154,0.614596081261703,0.405483863659993,0.518196862542676,-0.144292709659993,0.407587306741486,0.51135942984865,-0.146396152741485
"a1950075",20.92,0.604878049,113.3333333,0.036983548,60,-0.010501799,65,-0.018295839,30,1.005666497,175,-0.781949475,19,-0.008547455,36,0.468014192,0.253463101764544,-0.361553111716265,-0.462054609200373,0.829567303716265,-0.393844016770968,-0.49411708500601,0.861858208770968
"a1950076",21.33,1.014878049,100,-0.732246178,36,-1.26098495,62,-0.523481815,21,-1.161028857,185,-0.288397908,21,0.523128096,25,-0.669512518,-0.919435449996896,-0.293914444424644,-0.375614313246158,-0.375598073575356,-0.218185749455941,-0.273736052665967,-0.451326768544059
"a1950077",21.08,0.764878049,98.66666667,-0.809169151,38.66666667,-1.129460267,57,-1.280623764,14,-1.939698185,179,-0.592359152,16,-0.72507002,20,-1.186570114,-1.28973784173371,-0.734081416730488,-0.938135203720613,-0.452488697269513,-0.762102235990717,-0.956134203584359,-0.424467878009283
"a1950078",16.5,-3.815121951,118.6666667,0.344675443,73.33333333,0.73904692,67,0.340448985,28,0.383675823,190,-0.016453179,19,-0.008547455,36,0.468014192,0.451961792762039,0.0764154892322252,0.0976568251100861,0.391598702767775,0.0375240360214547,0.0470776919094274,0.430490155978546
